Palabra,Descripción,Categoría,Sinónimos,Antónimos
ARQUITECTO,"Profesional que trabaja en el diseño y proyección de construcciones como edificios, casas, oficinas, etc.",sust. m.,Arquitecto.,
ARREGLAR,Verbo pleno Reparar una cosa.,v. tr.,"Arreglar, reparar, componer.","Estropear, romper, arruinar."
ARRENDAR,"Verbo pleno Adquirir por precio, temporalmente alguna cosa; casi siempre es una vivienda.",v. tr.,"Arrendar, rentar.",
ARREPENTIRSE,Verbo pleno Sentimiento de pesar por haber hecho o dejado de hacer algo.,v. intr.,"Arrepentirse, lamentarse.",
ARROZ,"Semilla blanca, harinosa y rica en almidón que es comestible.",sust. m.,Arroz.,
ARTE,Actividad humana de creación y expresión artística.,sust. m.,Arte.,
ASADO,Carne asada a la parrilla.,sust. m.,"Asado, parrillada.",
ASCENSOR,"Aparato que sirve para subir y bajar en un edificio, a personas o cosas de un piso a otro.",sust. m.,"Ascensor, elevador, montacargas.",
ASCO,Malestar del estómago causado por la repugnancia que se tiene a alguna cosa y que puede provocar el vómito.,sust. m.,"Asco, nausea, repugnancia, repulsión.",
ASESINAR,Verbo de concordancia Matar a una persona con premeditación y alevosía.,v. tr.,"Asesinar, matar, liquidar, eliminar.",
ASFIXIA,Detención o dificultad en la respiración.,sust. f.,"Asfixia, sofocación, agobio.",
ASUSTARSE,Verbo pleno Tener una impresión repentina por miedo o espanto.,v. tr.,"Asustarse, atemorizarse, amedrentarse.",
ATACAR,Verbo de concordancia Afectar o producir daño a alguien por una acción violenta.,v. tr.,"Atacar, embestir, asaltar, agredir.",
ATAQUE,"Algún mal físico que se produce repentinamente en una persona, por ejemplo, al corazón.",sust. m.,"Ataque al corazón, infarto.",
ATAÚD,"Caja comúnmente de madera, donde se pone un cadáver para llevarlo a enterrar.",sust. m.,"Ataúd, urna, cajón.",
ATENDER,Verbo de concordancia Acoger favorablemente o satisfacer un deseo o mandato.,v. tr.,"Atender, considerar.",
ATENTO/A,Persona que tiene especial consideración a lo que se va a decir o hacer.,adj.,"Atento, interesado, considerado.","Distraído, desinteresado."
ATERRIZAR,"Verbo pleno Posarse un avión o artefacto volador, sobre una pista, al descender.",v. intr.,"Aterrizar, tomar tierra.",
ATRAER,"Verbo pleno Ganar el afecto, gusto o atención de una persona //2. Sentir agrado por algo que causa placer.",v. tr.,"Atraer, embelesar, deslumbrar, seducir, cautivar.",
ATRAVESAR,Verbo espacial locativo Pasar cruzando de una parte a otra.,v. tr.,"Atravesar, cruzar.",
AUDAZ,"Persona que actúa con atrevimiento, osadía y sin reflexión.",adj.,"Audaz, osado, atrevido.","Cobarde, temeroso."
AUDÍFONO,"Aparato para percibir o aumentar sonidos, que es usado por personas sordas o hipoacúsicas.",sust. m.,Audífono.,
AUDIOMETRÍA,"Examen de medición de la audición, en relación con las diferentes frecuencias de sonidos.",sust. f.,Audiometría.,
AUSTRALIA,"El país más grande del continente Oceánico, su capital es Canberra. Su fauna se caracteriza por los koalas y los canguros.",sust. p.,Australia.,
AVAL,Persona que responde a los compromisos adquiridos por otros.,sust. m.,"Aval, garantía, fianza.",
A-VECES,Cuando algo se hace o sucede de vez en cuando.,adv.,"A veces, algunas veces, de vez en cuando.",
AVERGONZARSE,Verbo pleno Sentir turbación del ánimo por alguna falta o acción deshonrosa.,v. intr.,"Avergonzarse, abochornarse, ruborizarse.",
AVIÓN,Transporte aéreo.,sust. m.,"Avión, avioneta.",
AVISAR,Verbo de concordancia Dar noticia de algún hecho.,v. tr.,"Avisar, advertir, anunciar.",
AYER,El día inmediatamente anterior a hoy.,adv.,"Ayer, el día anterior.",Mañana.
AYUDAR,Verbo de concordancia Prestar cooperación a otros.,v. tr.,"Ayudar, cooperar, asistir.","Dificultar, entorpecer, impedir, obstaculizar."
AZÚCAR,"Sustancia de color blanco y de sabor muy dulce, que se extrae de la caña, de la remolacha y de otros vegetales. Se usa para endulzar alimentos o bebidas.",sust. m.,y f. Azúcar.,
AZUL,Color del cielo sin nubes.,adj.,Azul.,
BABERO,"Prenda de tela que se pone a los niños, sobre el pecho, para mantenerlo limpio.",sust. m.,"Babero, servilleta, pechera.",
BACTERIA,"Organismo de una sola célula, de tamaño microscópico. Algunas de ellas pueden producir enfermedades que son tratadas con antibióticos.",sust. f.,Bacteria.,
BAILAR,"Verbo pleno Mover el cuerpo con ritmo, o siguiendo el compás de la música.",v. intr.,"Bailar, danzar, bailotear.",
BAJAR-ESCALERA,Verbo espacial locativo Descender de un piso a otro caminando por una escalera.,v. intr.,"Bajar escalera, descender.",
BAJAR-DE-PESO,Verbo pleno Disminuir la masa corporal.,v. intr.,"Bajar de peso, adelgazar.",
BALA,Proyectil con que se cargan las armas de fuego.,sust. f.,"Bala, proyectil, munición.",
BALANCÍN,"Juego infantil, construido con una barra fuerte que puede moverse hacia arriba y hacia abajo, alrededor de un eje.",sust. m.,Balancín.,
BALANZA,Instrumento que sirve para calcular el peso de una persona.,sust. f.,"Balanza, pesa, romana. Terraza abierta desde el suelo de la habitación, con barandas",
BALDE,Recipiente de plástico u otro material para contener líquidos.,sust. m.,"Balde, cubo, cubeta, recipiente.",
BALLENA,"Cetáceo, el mayor de todos los animales conocidos, mide hasta 30 metros de longitud. Vive en todos los mares.",sust. f.,Ballena.,
BALÓN-DE-GAS,Recipiente metálico de forma cilíndrica que sirve para contener gases a presión.,sust. m.,"Balón de gas, bombona.",
BANCO,"Asiento con respaldo o sin él, en que pueden sentarse varias personas.",sust. m.,"Banco, escaño, asiento.",
BANDA-DE-MÚSICA,"Conjunto de músicos que pertenecen a instituciones como, Fuerzas Armadas y de Orden, Colegios, entre otras.",sust. f.,"Banda, conjunto.",
BANDEJA,Utensilio plano que se usa para servir o llevar cosas.,sust. f.,Bandeja.,
BANDERA,"Pedazo de tela, generalmente rectangular, sujeto a un palo o mástil que, según su color o dibujo, constituye el símbolo de una nación u otra colectividad.",sust. f.,"Bandera, pabellón, estandarte, insignia.",
BANQUETE,Comida a la que asisten muchos invitados.,sust. m.,"Banquete, festín, comilona, agasajo.",
BAÑARSE,"Verbo pleno Meterse en el agua, para lavarse o para refrescarse.",v. tr.,Bañarse.,
BAÑO,Habitación para el servicio higiénico.,sust. m.,"Baño, retrete, W.C., sanitario, servicio higiénico.",
BAR,"Establecimiento donde se consumen bebidas alcohólicas, generalmente de pie ante un mostrador.",sust. m.,"Bar, cervecería, cantina, taberna, tasca.",
BARATO/A,"Cualquier cosa vendida, comprada u ofrecida a bajo precio. // 2. Algo de poca importancia.",adj.,"Barato, rebajado, saldo, ganga.","Caro, costoso."
BARBA,"Pelo que nace en la cara, en las mejillas, en el menton y bajo la nariz.",sust. f.,Barba.,
BARCO,Medio de transporte marítimo.,sust. m.,"Barco, embarcación, nave, barca, pesquero, yate.",
BARNIZAR,Verbo espacial locativo Cubrir la superficie de un objeto con una sustancia que le da brillo. Dar un baño de barniz.,v. tr.,"Barnizar, esmaltar, pintar.",
BARQUILLO,Cono de masa delgada para servir helado.,sust. m.,"Barquillo, cono.",
BARRER,Verbo pleno Limpiar el suelo con la escoba.,v. tr.,Barrer.,
BARRIL,Vasija de madera que sirve para conservar y transportar diferentes líquidos y licores.,sust. m.,"Barril, tonel, cuba, barrica.",
BARRIO,"Cada una de las partes en que se divide una población, los pueblos grandes o sus distritos.",sust. m.,"Barrio, comuna, distrito, sector.",
BARRO,Masa que resulta de la unión de la tierra y el agua.,sust. m.,"Barro, lodo, fango, sedimento.",
BASE,Fundamento o apoyo en que descansa alguna cosa.,sust. f.,"Base, plataforma, apoyo, fundamento, soporte.",
BÁSQUETBOL,"Juego de pelota entre dos equipos, de cinco jugadores cada uno, que consiste en introducir el balón con la mano en una canasta.",sust. m.,"Básquetbol, baloncesto.",
BASTÓN,Palo con puño para apoyarse al andar.,sust. m.,"Bastón, báculo, vara.",
BASURA,"Desechos o residuos de comida, papeles o trapos viejos, trozos de cosas rotas y otros desperdicios.",sust. f.,"Basura, inmundicia, suciedad.",
BATA,"Prenda de vestir holgada, con mangas, abierta por adelante, que se usa para levantarse o estar en casa.",sust. f.,"Bata, bata de levantarse.",
BATALLA,"Combate entre contrarios, en el cual se usan armas.",sust. f.,"Batalla, contienda, combate.","Concordia, conciliación, tregua."
BATIDORA,Instrumento para batir alimentos.,sust. f.,"Batidora, mezcladora.",
BAUTIZAR,Verbo pleno Administrar el sacramento del bautismo entre católicos.,v. tr.,"Bautizar, consagrar, sacramentar.",
BEATLE,"Prenda de vestir, generalmente de algodón, con mangas largas y un cuello alto que se dobla.",sust. m.,"Beatle, polera.",
BEBER-DE-BOTELLA,Verbo espacial locativo Ingerir un líquido de una botella.,v. tr.,"Beber, tomar.",
BEBIDA,"Líquido dulce, refrescante, efervescente y sin alcohol.",sust. f.,"Bebida, gaseosa, refresco.",
BEBIDA-ALCOHÓLICA,Líquido para beber que contiene alcohol.,sust. f.,"Bebida alcohólica, trago, licor.",
BECA,Financiamiento o pensión temporal que se concede a alguien para que continúe o complete sus estudios.,sust. f.,"Beca, ayuda, subvención, subsidio.",
BENCINA,"Líquido incoloro e inflamable, procedente de la destilación del petróleo que se usa como combustible para motores.",sust. f.,Bencina.,
BENDICIÓN-CATÓLICA,"Acción de consagrar al culto divino alguna cosa mediante una ceremonia determinada, entre los católicos.",sust. f.,"Bendición, consagración.",
BESAR,"Verbo espacial locativo Acción de tocar algo con los labios en señal de cariño, amistad o reverencia.",v. tr.,Besar.,
BERENJENA,Planta de poca altura con hojas grandes y verdes. Su fruto es ovalado de color morado. Se cocina para comer como guiso.,sust. f.,Berenjena.,
BESO,Roce con los labios en señal de cariño.,sust. m.,"Beso, ósculo.",
BIBLIA,"La Sagrada Escritura, o sea, los libros del Antiguo y Nuevo Testamento.",sust. f.,"Biblia, libro sagrado.",
BIBLIOTECA,Local que contiene un considerable número de libros ordenados para la lectura del público.,sust. f.,Biblioteca.,
BICICLETA,"Transporte de dos ruedas, a pedales, que sirve para una o dos personas.",sust. f.,Bicicleta.,
BIEN,"De buena manera, según es debido.",adv.,"Bien, apropiado, aceptable, admisible.","Mal, malamente, pésimamente."
BUENO/A,"Que tiene bondad. // 2. Útil para alguna cosa. // Agradable, divertido, gustoso, apetecible.",adj.,"Bueno, bondadoso, generoso, sensible.","Malo, malhechor, malvado."
BIENVENIDA,Recibimiento cortés que se hace a una persona.,sust. f.,"Bienvenida, saludo.",
BIGOTE,Pelo que nace sobre el labio superior.,sust. m.,"Bigote, mostacho.",
BIKINI,Traje de baño de dos piezas que usan las mujeres.,sust. m.,"Bikini, tanga.",
BILLETE,Documento de banco de papel que circula como medio legal de pago en cada país.,sust. m.,Billete.,
BILLETERA,"Cartera pequeña de bolsillo, para llevar billetes.",sust. f.,Billetera.,
BINGO,"Juego de azar, variedad de lotería.",sust. m.,Bingo.,
