Palabra,Descripción,Categoría,Sinónimos,Antónimos
ROMA,Ciudad capital de Italia. En su interior se encuentra la ciudad del Vaticano.,sust. p.,Roma.,
ROMANCE,Enamoramiento entre las personas.,sust. m.,"Romance, pololeo, galanteo.",
ROMANO/A,Persona natural de Roma.,sust. m. y f.,Romano.,
ROMPECABEZAS,Juego que consiste en armar una figura combinando las partes en que está dividida.,sust. m.,"Rompecabezas, puzzle.",
ROMPER,Verbo espacial locativo Separar de manera brusca o violenta las partes de un todo.,v. tr.,"Romper, quebrar, hacer pedazos.",
ROPERO,Armario donde se guarda la ropa.,sust. m.,"Ropero, armario, closet.",
ROSA,"Flor del rosal, de suave fragancia y generalmente de vivos colores.",sust. f.,Rosa.,
ROSADO/A,Color suave semejante al rojo.,adj.,"Rosado, rosa.",
ROTO/A,Persona maleducada e inculta.,adj.,"Roto, ordinario.",
RUBIO/A,Persona con cabello de color semejante al amarillo.,adj.,Rubio.,
RUEDA,Instrumento de forma circular que gira en un eje y sirve para mover un vehículo.,sust. f.,"Rueda, neumático.",
RUGBY,"Deporte creado en Inglaterra, parecido al fútbol, la pelota es ovalada. Se juega con 15 jugadores por equipo y tiene reglas que lo organizan",sust. p.,Rugby,
RUIDO,"Sonido de gran intensidad, generalmente molesto o desagradable.",sust. m.,"Ruido, bulla, sonajera.",
RULETA,"Juego de azar para el que se usa una rueda dividida en 36 casillas enumeradas y pintadas alternadamente de rojo y negro. Se hace girar la rueda y se lanza en sentido inverso una bolita, gana el número donde cae la bolita.",sust. f.,Ruleta.,
RUSIA,"País asiático, que entre sus límites destacan los que tiene con China y Europa. Su capital es Moscú.",sust. p.,"Rusia, Federación Rusa.",
SÁBADO,Sexto día de la semana civil.,sust. m.,Sábado.,
SÁBANA,"Cada una de las dos piezas de algodón u otro tejido, de tamaño suficiente para cubrir la cama, y colocar el cuerpo entre ambas.",sust. f.,Sábana.,
SABER,Verbo pleno Tener conocimiento o habilidad para hacer algo.,v. tr.,"Saber, conocer, comprender.","Ignorar, desconocer."
SABIO/A,Persona que tiene conocimiento profundo sobre algo.,sust. m. y f.,"Sabio, culto, ilustrado, experto, erudito.","Ignorante, inepto."
SABOR,Sensación producida en el gusto por los alimentos.,sust. m.,"Sabor, gusto. Instrumento para afilar los lápices",
SACAR,Verbo pleno Quitar o apartar de su lugar alguna persona o cosa.,v. tr.,"Sacar, separar, quitar, sustraer.",Poner.
SACERDOTE,"Hombre consagrado a Dios, ungido y ordenado para celebrar misa y administrar los sacramentos.",sust. m.,"Sacerdote, clérigo, prelado.","Laico, civil."
SACUDIR,Verbo espacial locativo Quitar el polvo de las cosas con un paño.,v. tr.,"Sacudir, desempolvar.",
SACO,"Bolsa generalmente de tela, que tiene forma cilíndrica y abierto por un lado.",sust. m.,"Saco, bolso, mochila.",
SACO-DE-DORMIR,"Bolsa de tela acolchada, tiene un cierre a los lados y se usa para dormir dentro de él.",sust. m.,Saco de dormir.,
SAGITARIO,Noveno signo del zodíaco.,sust. p.,Sagitario.,
SAGRADO/A,Algo perteneciente o relativo a Dios o divinidad o a su culto.,adj.,"Sagrado, sacro, consagrado, bendito.",Maldito.
SAL,"Sustancia ordinariamente blanca, cristalina, de sabor propio, que se emplea para sazonar los alimentos. Abunda en las aguas del mar.",sust. f.,Sal.,
SALA-DE-CLASES,Lugar o pieza donde se realizan clases por un profesor a los estudiantes.,sust. m.,"Sala de clases, aula.",
SALADO/A,Alimentos que tienen mucha sal.,adj.,"Salado, salobre, salino.",
SALCHICHA,"Embutido, en tripa delgada, de carne de cerdo bien molida y aliñada.",sust. f.,"Salchicha, vienesa.",
SALIR,Verbo pleno Pasar de adentro hacia fuera o ir de un lugar a otro.,v. intr.,"Salir, pasear, viajar.",
SALTAR,"Verbo espacial locativo Levantarse del suelo con impulso y ligereza, para pasar sobre un objeto.",v. intr.,"Saltar, brincar.",
SALUD,Estado saludable del cuerpo humano.,sust. f.,"Salud, fortaleza, vigor.",Enfermedad.
SALUDO,Dar a otro un gesto de cortesía al encontrarlo o despedirse.,sust. m.,Saludo.,
SALVAJE,Animal que no es doméstico y vive generalmente en la selva.,sust. m.,"Salvaje, indómito.",Doméstico.
SALVAR,Verbo pleno Librar de un riesgo o peligro.,v. tr.,"Salvar, rescatar, socorrer.",
SANDÍA,"Fruta grande de corteza verde y pulpa roja jugosa y dulce, con pepas negras y pequeñas.",sust. f.,Sandía.,
SANDWICH,"Emparedado hecho con dos rebanadas de pan, entre las que se coloca jamón, queso, embutidos, vegetales u otros alimentos.",sust. m.,"Sandwich, bocadillo, emparedado.",
SANGRE,"Líquido rojo que circula por las venas, las arterias, el corazón y los capilares, y transporta los elementos nutritivos y los residuos de todas las células del organismo.",sust. f.,"Sangre, flujo sanguíneo, linfa, plasma.",
SANTIAGO,"Capital de Chile y de la Región Metropolitana, situada en el valle longitudinal junto al río Mapocho. Es el centro de la vida cívica y económica chilena.",sust. p.,Santiago.,
SANTO/A,Persona a quien la Iglesia declara como santo por sus virtudes.,sust. m.,"y f. Santo, beato, venerable.",
SAPO,"Animal anfibio de piel oscura, ojos salientes y patas largas. Vive en charcas y lugares húmedos.",sust. m.,"Sapo, batracio.",
SARAMPIÓN,Enfermedad contagiosa que produce fiebre y manchas pequeñas y rojas en el cuerpo y con síntomas de catarro.,sust. m.,Sarampión.,
SARNA,"Afección a la piel contagiosa provocada por un ácaro, que excava túneles bajo la piel, produciendo enrojecimiento y una intensa picazón.",sust. f.,Sarna.,
SARTÉN,"Recipiente para cocinar de metal, de forma circular, poco hondo y con mango largo, que sirve para guisar o freír alimentos.",sust. m.,Sartén.,
SASTRE,Persona que corta y cose ropa de hombre.,sust. m.,Sastre.,
SATISFECHO/A,Se dice de quien ha saciado su apetito.,adj.,"Satisfecho, saciado.",Insatisfecho.
SECADOR-DE-PELO,Aparato para secar el pelo.,sust. m.,Secador de pelo.,
SECO/A,"Falto de agua, que carece de jugo o humedad.",adj.,"Seco, deshumedecido.","Humedecido, mojado."
SECRETARIO/A,"Persona que trabaja en oficinas, comúnmente redactando correspondencia y administrando archivos.",sust. m.,y f. Secretario.,
SECRETO,Lo que cuidadosamente se tiene reservado y oculto.,sust. m.,"Secreto, oculto, reservado.",Público.
SED,Gana y necesidad de beber agua o líquido.,sust. f.,"Sed, deseo.",
SEDA,Tela muy suave y delicada que se fabrica a partir de la baba de un gusano.,sust. f.,Seda.,
SEGURO/A,Algo que se dice que es cierto e indudable.,adj.,"Seguro, indudable, innegable.",
SELECCIONAR,"Verbo pleno Escoger a personas o cosas entre otras, prefiriéndolas.",v. tr.,"Seleccionar, escoger, elegir.",
SELVA,"Lugar muy extenso, húmedo y con gran cantidad de árboles y distintos animales.",sust. f.,"Selva, jungla.",
SEMÁFORO,"Aparato eléctrico de señales luminosas, roja, amarilla y verde, para regular la circulación de los vehículos.",sust. m.,Semáforo.,
SEMBRAR,"Verbo pleno Esparcir semillas en la tierra, preparada para este fin.",v. tr.,"Sembrar, esparcir, diseminar.",
SEMILLA,Grano que producen las plantas y que al caer o ser sembrados producen nuevas plantas.,sust. f.,"Semilla, grano, pepa.",
SENTAR,"Verbo pleno Poner o colocar a alguien en un asiento, de manera que quede apoyado y descansado sobre las nalgas.",v. tr.,"Sentar, acomodar.","Parar, erguir."
SENTARSE,Verbo pleno Acomodar el cuerpo en un asiento.,v. intr.,"Sentarse, acomodarse.","Pararse, erguirse."
SENTIR,Verbo pleno Experimentar sensaciones de placer o dolor por causas internas o externas.,v. tr.,"Sentir, afectarse, padecer.",
SENTIR-LÁSTIMA,Verbo pleno Experimentar sentimiento de dolor o pena por algo o alguien.,v. tr.,"Sentir lástima, pena, aflicción.",
SENTIRSE-MAL,Verbo pleno Experimentar sensación de dolor.,v. tr.,Sentirse mal.,Sentirse bien.
SEÑOR,Expresión que se aplica a un hombre educado y respetable. ,sust. m.,"Señor, caballero.",
SEÑORA,"Mujer adulta, normalmente casada.",sust. f.,"Señora, dama.",
SEÑORITA,"Mujer adulta, soltera.",sust. f.,"Señorita, dama.",
SEPARAR,"Verbo espacial locativo Establecer distancia entre algo o alguien con otros, que se toman como punto de referencia.",v. tr.,"Separar, apartar, alejar, aislar.","Juntar, reunir."
SEPTIEMBRE,"Noveno mes del año, tiene treinta días.",sust. m.,"Septiembre, setiembre.",
SÉPTIMO/A,"Que está inmediatamente después del sexto, en una secuencia ordenada.",adj.,Séptimo.,
SEPULTURA,Lugar donde está enterrado un cadáver.,sust. f.,"Sepultura, cripta, tumba, sepulcro.",
SERPIENTE,Reptil de gran tamaño.,sust. f.,"Serpiente, culebra, boa.",
SERVILLETA,"Pieza de tela o papel que usa cada persona al comer, para limpiarse la boca y manos y para proteger su ropa.",sust. f.,Servilleta.,
SEXTO/A,"Que está inmediatamente después del quinto, en una secuencia ordenada.",adj.,Sexto.,
SHOP,"Bebida alcohólica derivada de la cebada, la cerveza, que se sirve en un jarro.",sust. m.,"Shop, cerveza.",
SÍ,Afirmación que se usa comúnmente para responder a una pregunta.,adv.,Sí.,No.
SIDA,Enfermedad viral grave que consiste en la ausencia de respuesta inmunitaria.,sust. m.,"Sida, VIH.",
SIEMPRE,En todo momento.,adv.,"Siempre, continuamente constantemente.","Nunca, jamás."
SIGLO,Espacio de cien años.,sust. m.,"Siglo, centuria, época, centenario.",
SIGNIFICADO,Sentido o significación de las palabras y las señas.,sust. m.,"Significado, concepto, acepción.",
SÍLABA,Cada una de las divisiones fonológicas o sonoras de las palabras de una lengua oral.,sust. f.,Sílaba.,
SILENCIO,Falta de ruido. No hablar.,sust. m.,Silencio.,"Ruido, bulla."
SILLA,"Asiento con respaldo, por lo general con cuatro patas y en que solo cabe una persona.",sust. f.,Silla.,
SILLÓN,"Asiento cómodo que tiene brazos y respaldo, para una persona.",sust. m.,Sillón.,
SIMPÁTICO/A,Modo de ser de una persona que la hacen atractiva o agradable a las demás.,adj.,"Simpático, amable, cordial.",Antipático.
SINCERO/A,Persona que actúa con sinceridad y sin fingimiento.,adj.,"Sincero, franco, auténtico, leal.","Hipócrita, mentiroso, falso."
SINDICATO,Asociación de trabajadores organizada para la defensa de sus intereses.,sust. m.,"Sindicato, asociación, gremio.",
SINÓNIMO,Palabras o señas que tienen una misma o muy parecida significación.,sust. m.,"Sinónimo, semejante, similar.","Antónimo, distinto, opuesto."
SÍNTOMA,Fenómeno que es característico de la presencia de una enfermedad.,sust. m.,"Síntoma, indicio, señal, malestar.",
SISMO,Terremoto o sacudida de la tierra producida por causas internas.,sust. m.,"Sismo, temblor, terremoto.",
SOBRA,Cantidad mayor que queda de cualquier cosa más de lo que se necesita.,sust. f.,"Sobra, exceso, desperdicio, demasía.","Falta, escasez, carencia."
SOBRINO/A,Hijo o hija de su hermano o hermana.,sust. m.,y f. Sobrino.,
SOCIEDAD,"Agrupación de personas para la realización de actividades, generalmente comerciales.",sust. f.,"Sociedad, agrupación.",
SOCIO/A,Persona que forma parte de una agrupación.,sust. m.,"y f. Socio, camarada, colega.",
SOL,"Estrella luminosa, centro de nuestro sistema planetario.",sust. m.,"Sol, astro rey.",
SOLAMENTE,"De un solo modo, sin nada más.",adv.,"Solamente, únicamente, exclusivamente.",
SOLDADO,Persona que sirve a la milicia. Militar sin graduación.,sust. m.,"Soldado, conscripto.",
SOLDADOR,Instrumento que sirve para pegar y unir sólidamente dos cosas.,sust. m.,"Soldador, soplete.",
SOLEDAD,Falta voluntaria o involuntaria de compañía.,sust. f.,Soledad.,
SOLICITUD,Papel o escrito donde se pide algo.,sust. f.,"Solicitud, petición.",
SOLO/A,Persona sin compañía.,adj.,Solo.,
SOLTERO/A,Persona que no está casada.,sust. m.,"y f. Soltero, célibe, casadero.",
SOMBRA,"Proyección oscura que un objeto produce sobre algo o alguien, tapando los rayos de luz.",sust. f.,"Sombra, oscuridad.","Luz, claridad."
SOMBRERO,"Prenda de vestir que sirve para cubrir la cabeza, tiene copa y ala.",sust. m.,"Sombrero, gorro, chupalla.",
SOÑAR,Verbo pleno Representarse imágenes o sucesos mientras se duerme.,v. intr.,Soñar.,
SOPLAR,Verbo pleno Despedir aire por la boca.,v. tr.,Soplar.,
SOPLAR-VELA,"Verbo pleno Despedir aire con violencia por la boca, con el objetivo de apagar una vela.",v. tr.,Soplar la vela.,
SORDO/A,Persona que no oye.,adj.,Sordo.,
SORDOMUDO/A,Persona que no oye ni habla.,adj.,Sordomudo.,
SORPRESA,Motivo para asombrarse o maravillarse con algo imprevisto.,sust. f.,"Sorpresa, impresión.",
SUAVE,Algo liso y blando al tacto.,adj.,"Suave, terso, liso, sedoso,",Áspero.
SUBIR-ESCALERA,Verbo espacial locativo Caminar hacia arriba siguiendo los peldaños de una escalera.,v. tr.,"Subir escalera, ascender.","Bajar escalera, descender."
SUBIRSE,Verbo espacial locativo Treparse arriba de algo.,v. intr.,"Subirse, encaramarse.",
SUBMARINO,Navío que se desplaza bajo la superficie del mar.,sust. m.,Submarino.,
SUCIO/A,Algo o alguien que tiene manchas o impurezas.,adj.,"Sucio, mugriento, cochino.",
SUDAR,Verbo pleno Expulsar el líquido claro y transparente que proviene de las glándulas sudoríparas de la piel.,v. intr.,"Sudar, transpirar, segregar.",
SUECIA,País situado en Europa del Norte. Tiene límites terrestres con Noruega y Finlandia. Su capital es Estocolmo.,sust. p.,Suecia.,
SUEGRO/A,Padre o madre del cónyuge.,sust. m.,y f. Suegro.,
SUELA,Material resistente que cubre la parte inferior del zapato y toca el suelo.,sust. f.,suela.,
SUELDO,Pago o remuneración que se asigna a una persona por su trabajo o servicio profesional.,sust. m.,"Sueldo, salario, honorarios.",
SUERO,Agua con sales u otras sustancias que se inyecta con fines curativos.,sust. m.,Suero.,
SUFRIR,Verbo pleno Sentir dolor o pena.,v. tr.,"Sufrir, soportar, padecer.",
SUMA,Resultado de la operación aritmética que consiste en agregar a una cantidad otra.,sust. f.,"Suma, adición.",Resta.
SUMAR,Verbo pleno Operación aritmética que consiste en agregar a una cantidad otra.,v. tr.,"Sumar, añadir, contar.","Restar, quitar, sacar."
SUPERMERCADO,"Establecimiento comercial donde se vende al por menor diversos alimentos, bebidas, productos de limpieza, entre otros. El cliente se sirve a sí mismo y paga a la salida.",sust. m.,Supermercado.,
SUPERVISAR,Verbo de concordancia Inspeccionar o revisar los trabajos realizados por otros.,v. tr.,"Supervisar, inspeccionar, examinar.",
SUPLICAR,Verbo pleno Pedir con humildad y sumisión una cosa.,v. tr.,"Suplicar, rogar, implorar.","Exigir, mandar."
SUPONER,Verbo pleno Creer o conjeturar sobre la existencia de algo que no se sabe si existe.,v. tr.,"Suponer, creer, sospechar.","Comprobar, verificar."
SUR,Punto cardinal del horizonte opuesto al Norte.,sust. p.,"Sur, austro, austral.",Norte.
SUSPENDER,Verbo pleno Detener o postergar por algún tiempo una cosa o actividad.,v. tr.,"Suspender, detener, frenar.",
TABLA,"Trozo de madera de poco grosor y en general, más larga que ancha.",sust. f.,"Tabla, tablón, madero.",
TABLA-DE-MULTIPLICAR,Cuadro de resultados de la multiplicación de dos números. A cada par ordenado de números le corresponde el resultado o producto de los dos primeros.,sust. f.,Tabla de multiplicar.,
TACAÑO/A,Persona que evita o trata de no gastar su dinero o lo que tiene.,sust. m.,"Tacaño, avaro, egoísta, mezquino.","Generoso, dadivoso, derrochador."
TACO-MEXICANO,"Comida mexicana, que consiste en una tortilla de maíz que se rellena con distintos ingredientes: carnes, verduras, quesos y aliños diversos.",sust. m.,Taco.,
TACO,"Obstáculo de la circulación expedita de vehículos, en calzadas o carreteras, como consecuencia de la cantidad excesiva de estos.",sust. m.,"Taco, embotellamiento.",
TACO-DE-ZAPATO,"Trozo de madera o metal forrado, más o menos alto, que va colocado en la suela del zapato, en la parte del talón.",sust. m.,"Taco, tacón.",
TAG,"Sistema electrónico de cobro de peaje, para los vehículos que circulan por autopistas.",sust. m.,Tag.,
TAHITÍ,"País ubicado en una isla en el Océano Pacífico, su capital es Papeete",sust. p.,Tahití.,
TAILANDIA,Reino del sudeste de Asia. Su capital es Bangkok.,sust. p.,Tailandia.,
TALCA,"Capital de la Séptima Región del Maule, ubicada junto al río Claro.",sust. p.,Talca.,
TALCAHUANO,"Es la capital de la comuna del mismo nombre, en la provincia de Concepción en la Octava Región.",sust. p.,Talcahuano.,
TALLARINES,"Alimento hecho con pasta de harina de trigo, con forma de tiras muy largas y de distintos anchos. Se cuecen en agua hirviendo.",sust. m.,"Fideos, tallarines, cabellos de ángel, espaguetis, etc.",
TAMBIÉN,"Se usa apara afirmar la igualdad, semejanza, conformidad o relación de una cosa con otra ya nombrada.",adv.,"También, además, asimismo.",Tampoco.
TAMBOR,"Instrumento musical de percusión, de forma cilíndrica, hueco, cubierto en sus bases por cuero estirado. Se toca golpeándolo con dos palillos.",sust. f.,"Tambor, bombo.",
TANGO,"Baile originario de Argentina, difundido internacionalmente, que se baila en parejas, ejecutando movimientos y figuras con las piernas y los pies, al compás de la música del mismo nombre.",sust. m.,Tango.,
TAPAR-FRASCO,Verbo espacial locativo Acción que se realiza enroscando o colocando una tapa a un frasco.,v. tr.,"Tapar, cerrar.","Abrir, destapar."
TARDAR,"Verbo pleno No llegar a tiempo, retrasar la ejecución de algo.",v. intr.,"Tardar, retrasar, atrasar.","Apurar, agilizar."
TARDE,Tiempo que transcurre desde el mediodía hasta el anochecer.,sust. f.,"Tarde, ocaso, anochecer, crepúsculo.","Mañana, noche."
TARIFA,Precio que debe pagarse por servicios o bienes.,sust. f.,"Tarifa, costo, valor. Segundo signo del zodíaco",
TAXI,"Automóvil de alquiler con chofer, provisto generalmente de taxímetro, aparato que mide la distancia recorrida y el precio que se debe pagar.",sust. m.,Taxi.,
TAZA,"Vasija pequeña con asa, generalmente de loza que se usa para tomar líquidos.",sust. f.,"Taza, tazón, vasija.",
TÉ,Infusión que se prepara echando agua hirviendo sobre hojas secas de la planta del mismo nombre. Es usada como bebida estimulante.,sust. m.,Té.,
TEATRO,Arte de representar obras dramáticas en un escenario.//2. Lugar donde se representan las obras de teatro.,sust. m.,Teatro.,
TECHO,Parte superior de un edificio o casa que lo cubre y cierra.,sust. m.,Techo.,
TEJER-A-PALILLOS,"Verbo espacial locativo Entrelazar y cruzar hebras de lana o hilo, con dos palillos, formando una tela para realizar distintas ropas, especialmente chombas o chalecos.",v. tr.,Tejer.,
TELA,"Género o paño que se usa para confeccionar diversas ropas, cortinas, manteles, etc.",sust. f.,"Tela, lienzo, género.",
TELÉFONO,"Aparato con el cual se comunican dos personas a distancia mediante la palabra, por la acción de la electricidad y la fibra óptica.",sust. m.,Teléfono.,
TELESCOPIO,Anteojo de largo alcance que por lo general se usa para observar los planetas y estrellas.,sust. m.,Telescopio.,
TELEVISIÓN,"Sistema de transmisión y reproducción simultánea de sonido e imágenes en movimiento, a distancia. Aparato que se encuentra comúnmente en los hogares.",sust. f.,"Televisión, televisor.",
TEMA,"Contenido o materia principal de que trata un texto, un discurso o una conversación.",sust. m.,"Tema, argumento, trama.",
TEMPERATURA,"Grado mayor o menor de calor que tienen los cuerpos, el aire o los líquidos.",sust. f.,"Temperatura, fiebre, calor.",
TEMPLO,Edificio dedicado sólo y públicamente al culto religioso.,sust. m.,"Templo, iglesia, parroquia, mezquita, sinagoga.",
TEMUCO,Capital de la Novena Región de Chile de la Araucanía.,sust. p.,Temuco.,
TENEDOR,"Instrumento de mesa con dos o más puntas, especialmente para comer alimentos sólidos.",sust. m.,Tenedor.,
TENER,"Verbo pleno Poseer familiares, bienes o animales.",v. tr.,"Tener, poseer.",Carecer.
TENIS,"Juego en que principalmente dos participantes, separados por una red, se arrojan una pelota por medio de raquetas.",sust. m.,Tenis.,
TEÑIR-ROPA,Verbo espacial locativo Dar a algo un color distinto del que tenía.,v. tr.,"Teñir, entintar.",Desteñir.
TERMINAR,Verbo pleno Llevar a fin o dar término a una cosa o tarea.,v. tr.,"Terminar, acabar, concluir, finalizar.","Empezar, iniciar, principiar."
TERCERO/A,El que sigue inmediatamente después del segundo en una serie ordenada.,adj.,"Tercero, tercer.",
TERMÓMETRO,Aparato que sirve para medir la temperatura a las personas. Registra la temperatura máxima y tiene la escala dividida en décimas de grado.,sust. m.,Termómetro.,
TERNO,"Prenda de vestir formal, de hombre, de tres piezas: pantalón, chaleco y chaqueta.",sust. m.,"Terno, traje.",
TERRAZA,"Parte de la casa, abierta al aire libre, a veces con techo. Se usa como lugar de reunión, de descanso y entretenimiento.",sust. f.,Terraza.,
TESIS,Presentación escrita de un trabajo de investigación que se lleva a cabo como requisito para la obtención de un grado académico universitario.,sust. f.,"Tesis, memoria.",
TESTAMENTO,"Documento que registra la voluntad de una persona para la disposición de sus bienes y asuntos, después de su muerte.",sust. m.,"Testamento, legado.",
TETERA,"Vasija de metal, loza o porcelana, con tapa y un pico, la cual se usa para calentar el agua y servir el té.",sust. f.,Tetera.,
TIBIO/A,"Temperatura ni muy fría, ni muy caliente.",adj.,"Tibio, templado, temperado, entibiado.","Helado, congelado."
TIBURÓN,"Pez marino de los escuálidos. Su boca está situada en la parte inferior de la cabeza, arqueada en forma de media luna y provista de varias filas de dientes.",sust. m.,"Tiburón, escualo.",
TIEMPO,"Estado del ambiente, según la temperatura y la humedad, y de cómo se encuentra el cielo.",sust. m.,"Tiempo, clima, estado del tiempo.",
TIENDA,Establecimiento comercial donde se vende ropa al público.,sust. f.,"Tienda, comercio, negocio, local.",
TIERNO/A,Persona que se muestra cariñosa y sensible.,adj.,"Tierno, afectivo, emotivo.","Duro, insensible."
TIERRA,"Polvo, materia orgánica, que cubre la superficie seca del planeta Tierra.",sust. f.,"Tierra, polvo.",
TIGRE,"Mamífero salvaje, carnívoro, parecido al gato, de gran tamaño y muy feroz, de piel amarillenta con rayas negras en el lomo y la cola. Habita en Asia y África.",sust. m.,Tigre.,
TIJERA,"Instrumento de dos hojas de metal o acero, con filo en un lado, que están unidas por un eje y sirven para cortar lo que se pone entre ellas.",sust. f.,Tijera.,
TILDE,"Signo gráfico que se pone sobre las vocales en algunas palabras, para marcar la intensidad de voz.",sust. m.,"Tilde, acento.",
TIMBRE-DE-LUZ,"Aparato eléctrico, ubicado en la puerta, hacia el interior, que da señales luminosas, para avisar sobre la presencia de alguien.",sust. m.,Timbre de luz.,
TIMBRE-POSTAL,Sello que se pone en una carta o documento que acredita el pago de su envío.,sust. m.,"Timbre, sello postal.",
TINA,Artefacto que sirve para bañarse.,sust. f.,"Tina, bañera.",
TINTA,Líquido que se emplea para escribir.,sust. f.,Tinta.,
TÍO,"Con respecto a una persona, hermano de su padre o madre.",sust. m.,Tío.,
TIRAR,Verbo espacial locativo Lanzar algo en una dirección determinada.,v. tr.,"Tirar, lanzar.",
TÍTERE,"Muñeco o figura divertida, que es movida por alguien para representar a un personaje.",sust. m.,"Títere, marioneta.",
TOALLA,Pieza rectangular de tela que se usa para secarse después de lavarse.,sust. f.,Toalla.,
TOCAR-BOCINA,Verbo espacial locativo Hacer sonar la bocina presionándola con la mano.,v. tr.,Tocar la bocina.,
TOCAR-TIMBRE,Verbo espacial locativo Hacer sonar o encender la luz de aviso presionando un botón.,v. tr.,Tocar el timbre.,
TOCINO,"Carne de cerdo, con grasa.",sust. m.,"Tocino, panceta.",
TODAVÍA,Desde un tiempo anterior hasta un momento determinado.,adv.,"Todavía, aún.",
TODO/A,Que se toma o se abarca en forma completa.,adj.,Todo.,Nada.
TODO-EL-DÍA,"El día completo, de la mañana a la noche.",adv.,Todo el día.,
TODOS/AS,Equivale a todos los seres.,adj.,Todos.,
TODOS-LOS-DÍAS,"Que se realiza siempre, día tras día.",adv.,"Todos los días, diariamente.",
TOMATE,"Fruto rojo, blando y jugoso que se sirve en ensalada.",sust. m.,Tomate.,
TOMILLO,Planta cuyas hojas sirven de condimento o aliño por su fragancia.,sust. m.,Tomillo.,
TORO,"Macho adulto de ganado vacuno, tiene cabeza gruesa con dos cuernos, piel dura, pelo corto y cola larga.",sust. m.,Toro.,
TORPE,"Poco hábil, lento en comprender.",adj.,"Torpe, lerdo, cabeza dura.",Hábil.
TORRE,"Edificio alto, para vivienda, oficinas o iglesias.",sust. f.,"Torre, rascacielos.",
TORTA,"Pastel grande, generalmente redondo, relleno de frutas, crema o diferentes salsas dulces.",sust. f.,"Torta, pastel.",
TORTILLA,"Preparación frita, con huevos batidos y algunas verduras.",sust. f.,Tortilla.,
TORTUGA,"Reptil, vertebrado y ovíparo (se reproduce por huevos), con un caparazón duro. Camina lentamente.",sust. f.,Tortuga.,
TOS,"Movimiento fuerte, violento y sonoro, producido con la respiración.",sust. f.,"Tos, carraspeo, catarro.",
TOSER,"Verbo pleno Hacer fuerza y violencia con la respiración, para sacar del pecho lo que causa molestia.",v. intr.,"Toser, carraspear.",
TOSTADA,"Rebanada de pan, calentada en un tostador hasta quedar crujiente y dorada.",sust. f.,Tostada.,
TOSTADO/A,"Persona que por exposición al sol, tiene la piel oscurecida, especialmente en verano.",adj.,"Tostado, bronceado.",
TOSTADOR,"Parrilla pequeña que se pone sobre el fuego de la cocina, para tostar pan u otros alimentos.",sust. m.,Tostador.,
TRABAJAR,"Verbo pleno Ocuparse en cualquier oficio, obra o tarea.",v. intr.,"Trabajar, laborar, ejecutar.","Holgazanear, descansar."
TRABAJO,Tarea que se realiza.,sust. m.,"Trabajo, labor, ocupación.",
TRACTOR,Vehículo automotor con ruedas especiales para terrenos blandos. Se utiliza para trabajos agrícolas.,sust. m.,Tractor.,
TRADICIÓN,"Ideas, ritos y costumbres que se transmiten de generación en generación.",sust. f.,"Tradición, costumbre, hábito.",
TRADUCIR,Verbo pleno Expresar en una lengua lo que se ha dicho o escrito en otra.,v. tr.,"Traducir, interpretar, convertir.",
TRAGAR,"Verbo pleno Hacer pasar alimentos, desde la boca hacia el estómago.",v. tr.,"Tragar, comer, ingerir.",
TRAICIÓN,Delito que se comete faltando a la lealtad o fidelidad que se debe tener.,sust. f.,"Traición, deslealtad, delación.","Lealtad, honestidad."
TRÁMITE,"Paso de una parte a otra, para conseguir un documento o negocio.",sust. m.,"Trámite, diligencia, gestión.",
TRAMPA-PARA-RATÓN,"Instrumento para cazar ratas, que consiste en una tabla y alambres que atrapan el cuerpo del animal.",sust. f.,Trampa para ratón.,
TRANQUILO/A,Persona libre de inquietudes.,adj.,"Tranquilo, calmado, sosegado, relajado.","Nervioso, inquieto."
TRÁNSITO,Paso y movimiento de los vehículos en las calles o carreteras.,sust. m.,"Tránsito, tráfico, circulación.",
TRANSPIRAR,Verbo pleno Expulsar líquido por la piel.,v. intr.,"Transpirar, sudar, segregar.",
TRASTORNO-MENTAL,Enfermedad mental.,sust. m.,"Trastorno mental, perturbación mental.",
TRATAR,Verbo pleno Tener ánimo de hacer una cosa.,v. tr.,"Tratar, intentar, probar.","Abandonar, desistir."
TRÉBOL,"Planta verde y pequeña, de hojas casi redondas que se agrupan de tres en tres.",sust. m.,"Trébol, pasto, planta.",
TREN,"Transporte eléctrico que se mueve sobre rieles de acero, con carros que van entrelazados, que transportan pasajeros y todo tipo de carga.",sust. m.,"Tren, ferrocarril, convoy.",
TRIÁNGULO,Figura geométrica formada por tres lados y tres ángulos.,sust. m.,Triángulo.,
TRIÁNGULO-ISÓSCELES,Triángulo que tiene solo dos lados iguales.,sust. m.,Triángulo isósceles.,
TRIGO,"Planta con espigas que contiene granos, que al ser molidos se produce harina.",sust. m.,"Trigo, cereal.",
TRISTE,"Alguien que se muestra afligido, apesadumbrado.",adj.,"Triste, afligido, acongojado, apenado.","Alegre, feliz, dichoso."
TRIUNFO,Éxito que se logra en algo difícil.,sust. m.,"Triunfo, premio, logro, éxito.","Fracaso, derrota, pérdida."
TROMPA,Nariz del elefante. Es larga y flexible.,sust. f.,Trompa.,
